radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.947068,32.2629,32.2449,0.606093,-0.566851,0.0111618,-0.592717,0.0958576
0.42485,40.2561,148.733,0.127834,3.82083,108.544,0.392782,1.52317
0.818442,32.6323,82.0376,0.495904,0.286403,49.4166,-0.254437,-0.130401
0.929355,13.1637,82.4291,0.359397,0.358828,95.5778,-0.0182624,0.861173
0.744338,8.63207,94.2253,0.31807,0.776551,102.845,0.0839957,1.17445
0.673939,12.9457,31.3034,0.0995042,-0.408239,44.2488,0.0228856,-0.369754
0.389485,12.1189,161.892,0.188053,5.02498,149.833,0.445058,3.84503
0.704323,5.33677,102.019,0.245133,1.11448,107.349,0.235903,1.39353
0.185727,3.76751,48.7505,0.105272,-0.321014,44.9833,0.0603687,-0.299981
