radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.700925,1.55491,20.0546,1.04866,5.40946,20.8496,0.931822,4.07828
0.363214,1.31095,19.1581,0.740835,5.94395,18.9297,0.618582,4.65885
0.170307,1.06044,16.212,0.820503,5.31392,17.1293,0.771244,5.84377
0.267355,0.842822,12.7841,1.09329,6.59415,13.5232,0.714136,6.45167
0.851582,1.52192,11.9953,2.04284,4.59542,11.8399,1.2816,3.28675
0.314905,1.2882,10.7399,2.48823,4.98738,10.9518,2.07143,3.78703
0.332825,0.929371,10.004,1.07257,6.5601,9.08139,1.07243,6.67162
0.71104,1.09833,7.83305,1.48708,7.12773,8.5171,1.58224,7.98174
0.227922,1.17405,6.38028,1.01322,7.96535,7.53956,1.08915,8.13479
0.856149,1.90564,5.9726,1.64044,7.59054,7.86776,1.83646,7.62826
0.135548,0.796584,3.81754,1.08818,7.88707,4.49222,1.07359,8.31031
0.211206,0.801264,3.6607,1.1867,8.07941,2.90759,1.19291,7.80587
0.267261,1.12357,2.69557,1.10778,8.0405,2.24501,1.23353,9.06207
0.387401,1.46012,1.65857,1.51906,7.93386,2.04751,1.6085,9.33838
0.274291,1.01398,1.14481,1.85472,7.59754,0.854059,2.00163,6.63731
0.709102,1.43576,22.0597,0.0691344,4.91503,21.6769,0.169136,6.29522
0.320508,1.05788,18.575,0.764478,6.25722,17.6601,0.817081,6.7857
0.305027,1.03082,16.8556,0.998168,6.60981,17.8196,0.651919,6.49408
0.0957772,1.11849,16.0792,0.812585,6.80943,14.9704,0.82445,6.6624
0.251719,1.0401,15.0055,0.763987,6.96423,14.0172,1.08178,7.02896
0.235097,0.937476,14.143,1.01524,6.68015,13.2383,1.25545,6.73261
0.681468,1.82407,12.7023,2.15253,6.03804,12.3183,2.13754,4.25491
0.449748,1.40748,9.76996,1.08289,6.98215,10.3905,2.34249,7.0784
0.292359,1.19643,9.86916,1.10875,7.64416,9.56128,1.18532,8.79776
0.21388,1.0714,3.85299,2.14276,6.91947,4.90363,1.93336,6.90572
0.400072,1.13588,2.97094,1.30099,8.82094,3.87387,1.31459,9.50996
0.100871,1.04703,3.34673,2.4963,6.72545,2.51331,1.86267,6.71091
0.446432,1.35989,1.93639,1.62168,8.88497,2.07076,1.72014,10.2346
0.323392,0.857255,19.3436,0.569199,7.06926,18.6269,1.03914,7.04877
0.182635,1.95815,17.873,1.21376,6.78683,15.9236,1.03853,6.72799
0.25795,1.29505,14.9242,1.01108,7.28503,15.6319,1.1177,8.36432
0.46853,1.1591,14.6756,2.09109,7.17438,13.8944,1.23949,7.2638
0.424242,1.40225,13.879,1.36804,8.91796,13.5852,1.4487,7.54922
0.162102,0.934531,13.3137,1.29391,6.88737,12.8978,2.12912,6.83375
0.401487,1.19741,8.84934,1.45655,9.87355,9.07351,1.32381,8.70483
0.0995367,0.966065,8.6294,2.31051,6.73521,9.2649,1.58292,6.73011
0.12722,0.829745,3.85075,2.39591,6.7334,3.21051,2.92366,6.72635
0.606837,1.73422,2.20983,1.47314,9.60042,2.40654,2.09984,11.2054
0.214731,0.851204,1.25806,2.69498,7.47809,1.44901,2.32553,8.22079
0.676253,2.42883,0.777733,4.37295,5.12283,1.07908,2.18835,6.14064
0.163023,0.707025,21.8676,0.69407,6.65633,22.3687,1.12206,6.91251
0.26186,0.833047,21.0927,1.03446,6.90455,21.9247,1.00618,6.9347
0.17433,0.847767,20.9778,1.04118,6.80555,20.2083,0.688685,6.85445
0.438361,1.59644,20.4072,0.794725,7.21118,19.0604,1.63949,7.06642
0.132434,1.17695,18.3898,0.850407,7.74878,19.4411,0.906878,8.27476
0.527828,1.27717,19.5105,1.45805,7.13815,18.2861,1.82049,7.11265
0.200165,1.92007,15.4415,1.13673,9.04305,16.8502,1.01011,7.74454
0.308701,1.54175,14.4097,0.968375,8.32611,14.8353,1.01496,9.80724
0.281611,0.876995,-4.09528,3.82568,56.8311,-4.93563,4.07257,56.8757
0.62266,1.88146,10.8601,3.99477,4.94828,10.4901,2.63592,6.19587
0.700408,2.05354,9.44309,1.76361,8.86121,9.00665,1.75509,10.8678
0.152416,0.781761,8.39801,2.84496,6.68502,7.96491,2.19419,6.67669
0.253293,2.42638,1.4271,3.99286,6.53059,3.58222,2.88446,6.64995
0.205254,1.88313,1.78036,2.14558,9.46999,1.46531,3.27848,7.99912
0.125715,0.933298,1.12319,2.8237,6.77729,1.22299,3.74477,6.6645
0.468569,0.8738,-3.89256,3.60246,55.2286,-4.36976,4.29522,55.465
0.481124,1.82734,-2.86433,4.59275,56.5381,-4.68082,4.40291,56.5971
0.660548,1.76014,23.1032,1.98345,6.76204,22.6205,0.592925,5.79688
0.510308,1.47279,21.8286,1.11898,7.23222,21.8458,1.63139,8.61289
0.525354,1.37753,19.5507,0.602315,7.7865,20.2259,0.684049,8.9844
0.0985811,0.789647,15.9064,1.89297,6.79866,16.6626,1.66785,6.83046
0.630993,1.00823,14.4221,2.61909,6.19269,15.3213,2.16309,6.18768
0.683987,1.60815,14.2429,1.53577,8.83601,14.3444,1.78334,10.4218
0.486415,0.973056,-3.13613,4.1514,55.6335,-2.94184,5.10485,55.6378
0.405523,1.04907,9.98263,2.32562,6.52615,10.566,3.18928,6.40668
0.290472,1.04159,8.91752,1.53931,11.295,9.54865,1.37208,10.4835
0.252065,1.00036,2.71117,1.62608,11.7155,3.62822,1.6318,12.1151
0.251886,0.896062,2.14491,1.55264,11.1532,2.56581,1.54133,11.9442
0.175053,0.761203,-0.0961984,3.36098,44.8252,0.630007,3.32698,45.0509
0.352472,1.73144,21.1618,0.781815,9.47338,22.0555,1.30467,8.08561
0.419866,1.15346,20.3362,1.53951,6.93955,21.3147,2.15018,6.94958
0.205995,1.02748,20.7496,1.05589,9.77657,20.0621,0.972743,9.0175
