radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.124484,2.46049,298.535,1.68353,-3.00652,300.982,1.53921,-2.80327
0.10679,0.898932,277.948,10.475,-4.73782,278.817,10.5463,-4.51723
0.0945226,0.597607,11.6393,0.546435,5.81349,12.2335,0.565403,5.75275
0.196901,0.568064,14.674,0.131713,-1.34336,14.2664,-0.181304,-1.58546
0.114125,0.93259,298.171,1.61977,-3.08538,297.253,1.55568,-3.23666
0.305108,0.593368,277.275,10.6113,-5.00955,277.709,10.8256,-4.66714
0.0611114,0.500315,14.826,0.0825795,-1.61907,15.3209,0.0976024,-1.6913
0.170368,0.609327,297.074,1.43652,-3.14949,296.469,1.50185,-3.11839
0.170368,1.38797,297.461,1.39478,-3.16936,296.082,1.54359,-3.09852
0.0807229,0.785651,13.2008,9.04683,-1.4121,13.9764,9.16987,-1.38853
0.125927,0.602188,276.071,10.5413,-4.76812,276.672,10.5048,-4.75912
0.510548,2.0051,277.459,10.9545,-4.73403,275.504,10.8399,-5.16246
0.127244,1.14829,295.919,1.66077,-3.23203,294.791,1.53868,-3.4106
0.0758,0.455835,15.3643,0.0805756,-1.67331,15.812,0.140744,-1.73447
0.119215,0.39701,14.5346,9.22526,-1.44101,14.148,9.13897,-1.46743
0.0643512,1.784,12.6282,8.76546,5.8764,10.8518,8.67536,6.01388
0.169901,1.06385,275.825,10.4745,-4.6339,274.819,10.3847,-4.9693
0.165075,2.72891,281.667,10.1667,3.3732,284.355,10.2305,3.84177
0.120794,0.766927,294.523,1.55969,-3.49257,293.804,1.74058,-3.29737
0.160316,1.25827,301.17,1.91499,4.71568,299.925,2.09313,4.71999
0.0877333,0.545785,14.5471,9.07452,-1.54064,15.0863,9.06825,-1.62463
0.059802,0.432447,16.5776,0.112397,-1.81305,16.1486,0.149223,-1.77265
0.119135,0.583952,293.095,1.53693,-3.52868,293.645,1.6221,-3.35356
0.107688,0.943273,273.307,10.4231,-4.99525,274.247,10.4093,-5.06803
0.0375895,1.36417,14.3703,0.469271,5.58422,13.0165,0.5603,5.72565
0.0796833,0.572566,17.1138,0.119718,-1.81285,16.542,0.115373,-1.78378
0.103918,0.794014,292.721,1.65002,-3.52189,291.939,1.62882,-3.66174
0.107466,0.289492,15.5683,9.15817,-1.6996,15.2872,9.0974,-1.66623
0.0970934,0.719069,272.453,10.4695,-5.03282,273.168,10.4126,-5.07911
0.258979,0.592189,17.784,-0.180644,-1.90919,17.251,-0.063343,-1.67934
0.101076,3.27402,281.727,10.1646,3.57114,278.454,10.1706,3.49278
0.0995844,1.12878,290.532,1.5748,-3.70373,291.66,1.61019,-3.67659
0.10913,0.372574,16.0357,9.08889,-1.76899,16.3703,9.23453,-1.69373
0.0742348,1.88972,15.3885,8.72251,5.68502,13.5055,8.71292,5.84375
0.0562117,0.438703,18.1657,0.143051,-1.87299,17.7314,0.0831233,-1.88915
0.0775184,0.462475,16.5784,9.11483,-1.67574,17.0356,9.13013,-1.74407
0.0697686,0.79493,271.342,10.4266,-5.12252,272.117,10.518,-4.97009
0.0957647,0.815218,15.7664,0.507617,5.48318,14.9531,0.491801,5.53685
0.127007,0.488305,18.1714,0.178316,-2.00912,18.6407,0.170232,-2.1439
0.0360351,0.557633,289.696,1.67973,-3.7379,290.246,1.5969,-3.77693
0.11677,2.00075,296.61,2.15024,4.35717,294.618,2.11262,4.17043
0.0884184,0.467395,17.5438,8.93606,-1.79126,17.1626,9.20596,-1.80772
0.0745553,0.736122,19.4336,0.0850155,-2.04977,18.701,0.146709,-2.01406
0.149596,0.426804,17.5315,9.09574,-1.73381,17.9498,9.1735,-1.76702
0.149031,0.46978,270.913,10.4893,-5.03635,270.496,10.3519,-5.20333
0.106124,0.456328,19.5167,0.160388,-2.03285,19.9425,0.0670545,-2.16788
0.0779863,0.721716,289.312,1.61733,-3.88293,288.604,1.55707,-4.00964
0.106285,0.587578,18.1548,9.13256,-1.91189,18.739,9.17907,-1.95364
0.107445,0.96699,269.29,10.4226,-5.40818,270.235,10.5014,-5.21999
0.113788,1.2891,275.676,10.0622,3.23263,276.954,10.143,3.38124
0.15361,1.10163,287.068,1.44171,-4.09415,288.162,1.48204,-3.97773
0.0662897,0.975572,294.323,2.00936,4.24645,293.356,2.02265,4.11243
0.0927696,0.602393,18.8095,9.12604,-1.99468,19.4087,9.17804,-2.02797
0.109871,1.04389,267.86,10.3989,-5.38939,268.9,10.4419,-5.30589
0.11739,0.386045,20.4038,0.113242,-2.28401,20.7154,0.249938,-2.10178
0.162056,0.666693,286.431,1.49534,-4.16673,287.018,1.67147,-3.90286
0.118442,0.782448,292.404,1.98119,3.83805,293.126,2.10518,4.1139
0.0617883,0.895083,18.5393,0.524356,5.25804,17.6517,0.552825,5.37034
0.094236,0.386356,21.1924,0.24706,-2.21013,20.8455,0.165802,-2.3596
0.144561,0.815979,286.371,1.57141,-4.22952,285.563,1.67971,-4.21112
0.0859413,0.402321,19.8143,9.16987,-2.07739,19.4157,9.13247,-2.03687
0.0729119,0.485024,21.7581,0.135258,-2.25758,21.2834,0.108076,-2.35352
0.0909212,1.2673,290.393,1.99078,3.88983,291.659,1.97024,3.92599
0.0715458,0.383931,20.1866,9.11292,-2.12336,19.8101,9.14301,-2.05457
0.12583,0.538794,267.201,10.4954,-5.36295,266.726,10.4499,-5.61171
0.106181,0.843059,284.39,1.45401,-4.40488,285.192,1.6209,-4.20827
0.0716817,0.374447,20.5373,9.07897,-2.13053,20.1657,9.09296,-2.08617
0.0773296,0.629573,283.854,1.60969,-4.29643,283.24,1.53212,-4.4118
0.0789446,0.557367,19.0357,0.573289,5.21096,19.5855,0.555097,5.12102
